Question,Chunk_content,Source_ref,Topic
Comment doit-on traiter une hypoglycémie chez un patient diabétique ?,"L’hypoglycémie est une baisse du taux de sucre dans le sang au-dessous de 4,0 mmol/L. Le traitement immédiat consiste à prendre 15 g de glucides à absorption rapide (exemples : 4 comprimés de Dex4®, 15 ml de sirop d’érable, ou 150 ml de boisson gazeuse ordinaire). Il faut attendre 15 minutes au repos, mesurer la glycémie de nouveau, et répéter les étapes si le résultat est toujours inférieur à 4 mmol/L.",Guide pratique pour la gestion du diabète - Diabète Québec,Traitement / Complication Aiguë
Quelles sont les deux formes de neuropathie diabétique existantes ?,"Il existe deux formes de neuropathie diabétique : 1) La neuropathie périphérique, qui touche particulièrement les nerfs des jambes et des pieds ; et 2) La neuropathie autonome, qui touche les nerfs de certains organes tels que le cœur, les organes génitaux, l’estomac, les intestins et la vessie.",Guide pratique pour la gestion du diabète - Diabète Québec,Complication
Pourquoi l'activité physique est-elle recommandée pour les diabétiques, et quelles sont les recommandations minimales hebdomadaires ?","L'activité physique apporte une meilleure gestion du taux de sucre dans le sang, diminue les risques de neuropathie et de maladies cardiovasculaires, et améliore la gestion du poids. Il est recommandé de pratiquer deux heures et demie d’activités cardiovasculaires par semaine, réparties sur au moins trois jours, sans rester inactif plus de deux jours, et d’ajouter au moins deux séances d’exercices musculaires par semaine.",Guide pratique pour la gestion du diabète - Diabète Québec
Quand le traitement médicamenteux du diabète de type 2 est-il jugé légitime ou nécessaire en fonction de l'HbA1c ?,"L’introduction d’un traitement médicamenteux est considérée comme légitime lorsque l’HbA1c demeure supérieure à 6,5 % après 3 à 6 mois des seules mesures hygiéno-diététiques. Le traitement médicamenteux est jugé nécessaire si l’HbA1c demeure supérieure à 8 %.",DIAGNOSTIC ET CLASSIFICATION DU DIABÈTE SUCRÉ LES NOUVEAUX CRITÈRES,Traitement
Que doit faire un diabétique de Type 1 ou 2 pour dépister les complications au niveau des pieds ?,Il est recommandé d'évaluer le risque de plaie du pied par un examen clinique et la pratique du test au monofilament par le médecin ou un pédicure-podologue. Ce dépistage annuel est pris en charge chez toutes les personnes diabétiques.,Guide pratique pour la gestion du diabète - Diabète Québec ; LES COMPLICATIONS CHRONIQUES DU DIABÈTE,Complication / Suivi
Quels sont les facteurs de risque qui augmentent spécifiquement le risque de développer le diabète de type 2 ?,"Les facteurs de risque comprennent : être de sexe masculin, avoir 40 ans et plus, appartenir à un groupe ethnique à haut risque, avoir une pression sanguine élevée, être en surpoids (particulièrement à l’abdomen), faire moins de 30 minutes d’activité physique par jour, et avoir des antécédents de diabète de grossesse ou avoir donné naissance à un bébé de plus de 4,1 kg.",Guide pratique pour la gestion du diabète - Diabète Québec,Facteurs de Risque
Quel est l'objectif de pression artérielle recommandé chez un patient diabétique hypertendu ?,L’objectif du traitement antihypertenseur chez le diabétique hypertendu est une pression artérielle habituellement inférieure à 130 mmHg pour la systolique et 85 mmHg pour la diastolique. Un objectif de 130/80 mm Hg ou moins est également cité.,DIAGNOSTIC ET CLASSIFICATION DU DIABÈTE SUCRÉ LES NOUVEAUX CRITÈRES ; Guide pratique pour la gestion du diabète - Diabète Québec,Traitement / Comorbidités
Quels sont les trois types de glucides présents dans l'alimentation et quel est leur impact sur la glycémie ?,"Les trois types de glucides sont : 1) Les Sucres (ex: fruits, desserts) : font augmenter la glycémie ; 2) L'Amidon (ex: pâtes, pain) : fait augmenter la glycémie ; 3) Les Fibres (ex: produits à grains entiers, légumineuses) : ne sont pas digérées et ne font pas augmenter la glycémie ; elles contribuent à limiter l’augmentation de la glycémie après les repas.",Guide pratique pour la gestion du diabète - Diabète Québec,Traitement / Alimentation
Quel est l'effet du stress (physique ou psychologique) sur la glycémie ?,"Le stress, qu'il soit physique (infection, chirurgie) ou psychologique (deuil, nouvel emploi), peut faire augmenter la glycémie. Le corps réagit en produisant des hormones de stress (adrénaline, cortisol) qui incitent le foie à produire du sucre afin de fournir de l’énergie aux cellules, augmentant ainsi le taux de sucre dans le sang.",Guide pratique pour la gestion du diabète - Diabète Québec,Gestion du Stress
Pourquoi la prise régulière d'aspirine est-elle recommandée en prévention secondaire chez les diabétiques de type 2 ?,"La prise régulière d’aspirine est recommandée en prévention secondaire pour les patients atteints de diabète de type 2 des deux sexes en présence d’une atteinte macrovasculaire, car elle permet d'estimer une réduction des événements vasculaires. Elle est également recommandée en prévention primaire si le patient présente un haut risque vasculaire (tabagisme, hypertension, obésité, etc.).",DIAGNOSTIC ET CLASSIFICATION DU DIABÈTE SUCRÉ LES NOUVEAUX CRITÈRES,Traitement / Comorbidités
